kod;pytanie
COMPASSION;Współczucie dla cierpiących jest najważniejszą cnotą człowieka
FAIRLY;Jeśli ustanawia się nowe prawo, to najważniejsze jest, aby wszyscy byli traktowani sprawiedliwie
HISTORY;Jestem dumny z historii mojego kraju
KIDRESPECT;Szacunek dla władzy i autorytetów jest czymś, czego powinny nauczyć się wszystkie dzieci
HARMLESSDG;Nie należy robić rzeczy obrzydliwych, nawet jeśli nikomu nie dzieje się krzywda z tego powodu
ANIMAL;Jedną z najgorszych rzeczy, jakie może zrobić człowiek, jest skrzywdzenie bezbronnego zwierzęcia
JUSTICE;Sprawiedliwe traktowanie obywateli jest podstawą dobrego społeczeństwa
FAMILY;Należy być lojalnym w stosunku do członków rodziny, nawet gdy zrobili coś złego
SEXROLES;Role kobiet i mężczyzn w społeczeństwie są i powinny być różne
UNNATURAL;Określiłbym/określiłabym pewne czyny jako złe ze względu na to, że są one niezgodne z naturą
KILL;Zabicie drugiego człowieka jest - w zdecydowanej większości przypadków - czymś moralnie złym
RICH;Uważam, że jest to moralnie złe, że dzieci bogatych ludzi mają znacząco lepszy start w życiu niż dzieci biednych ludzi
TEAM;Solidarność ze swoją grupą jest ważniejsza niż wierność własnym poglądom
SOLDIER;Gdybym był żołnierzem i nie zgadzałbym się z rozkazem przełożonego, to i tak bym go wykonał, ponieważ taki jest obowiązek żołnierza
CHASTITY;Czystość seksualna to ważna i cenna cnota człowieka
