item;statement
1;Wizyta w galerii sztuki nieco by mnie znudziła. 
2;Utrzymuję w czystości moje miejsce pracy i mieszkanie. 
3;Rzadko żywię urazę, nawet w stosunku do tych, którzy mnie bardzo skrzywdzili. 
4;W sumie jestem z siebie dość zadowolony.
5;Odczuwam niepokój, gdy muszę podróżować podczas złej pogody.
6;Jeżeli potrzebuję czegoś od osoby, której nie lubię, staram się być w stosunku do niej bardzo miła(y).
7;Chętnie dowiaduję się nowych rzeczy o historii i życiu politycznym innych krajów.
8;Podczas pracy wyznaczam sobie często ambitne cele.
9;Ludzie mówią mi czasem, że odnoszę się do innych zbyt krytycznie.
10;Rzadko wyrażam swoje opinię na grupowych spotkaniach.
11;Czasem zamartwiam się drobiazgami i nic nie mogę na to poradzić. 
12;Jeśli miał(a)bym pewność, że nikt mnie nie złapie, pewnie zdecydował(a)bym się na kradzież miliona.
13;Wolę pracę wymagającą wykonywania rutynowych czynności niż taką, gdzie potrzeba pomysłowości. 
14;Często sprawdzam powtórnie wykonaną pracę szukając ewentualnych błędów.
15;Ludzie mówią mi często, że jestem zbyt uparty/uparta.
16;Unikam rozmów na błahe tematy.
17;Kiedy cierpię z powodu jakiegoś bolesnego wydarzenia, potrzebuję kogoś, kto sprawi, że poczuję się lepiej.
18;Nie zależy mi specjalnie na posiadaniu dużej ilości pieniędzy.
19;Myślę, że zajmowanie się radykalnymi koncepcjami, które mają zmienić oblicze świata to strata czasu.
20;Podejmuję decyzje raczej pod wpływem nastroju chwili niż po długim namyśle.
21;Ludzie mają mnie za osobę porywczą.
22;Prawie zawsze rozpiera mnie energia.
23;Zbiera mi się na płacz, gdy widzę jak inni płaczą.
24;Jestem zwyczajnym człowiekiem, wcale nie lepszym niż inni.
25;Nie poświęcił(a)bym czasu na czytanie tomiku poezji.
26;Planuję z wyprzedzeniem i wszystko dobrze organizuję, aby uniknąć szarpaniny w ostatniej chwili.
27;W stosunku do ludzi, którzy kiedyś potraktowali mnie źle stosuję zasadę „przebacz i zapomnij”.
28;Wydaje mi się, że niektóre cechy mojego charakteru podobają się prawie wszystkim.
